Image ID,Deviation of Widths (DW),Deviation of Heights (DH),Deviation of Areas (DA),Density,Vertical Projection Variance,Pixels Distribution,Major Horizontal Projection Difference,Bottom Line,Black Pixels Each Line
23.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551560,0.0,0.0
23.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551609,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0008580008580008,0.0511322132943754,0.0021927587965323,18446744073709551571,0.0,0.054054054054054
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551611,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,4.83423411228959e-06,18446744073709551615,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0005760368663594,0.0312174817898023,0.0007012622720897,18446744073709551563,0.0,0.032258064516129
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
24.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
25.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551609,0.0,0.0
25.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
25.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
25.jpg,[0.0],[0.0],[0.0],0.0009492168960607,9.795874217723869,4.913200131018657e-05,18446744073709551615,0.0,0.2790697674418609
26.jpg,[0.0],[0.0],[0.0],0.0039682539682539,0.1224489795918367,0.0054945054945054,18446744073709551549,0.0,0.1428571428571428
26.jpg,[0.0],[0.0],[0.0],0.0026525198938992,29.485847364014383,0.0021964726138954,18446744073709551615,0.0026525198938992,0.7824933687002654
26.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551614,0.0,0.0
26.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551597,0.0,0.0
26.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551615,0.0,0.0
27.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
27.jpg,[0.0],[0.0],[0.0],5.3540356043367687e-05,0.0082298858490728,5.723279439118615e-05,18446744073709551615,0.0,0.0082987551867219
27.jpg,[0.0],[0.0],[0.0],0.0013204225352112,18.604282384447533,0.0004555303851078,18446744073709551613,0.0017605633802816,0.3908450704225348
27.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551582,0.0,0.0
27.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551608,0.0,0.0
27.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551602,0.0,0.0
27.jpg,[0.0],[0.0],[0.0],0.0003770739064856,0.03698224852071,0.0004180602006688,18446744073709551612,0.0,0.0384615384615384
27.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551448,0.0,0.0
27.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,18446744073709551613,0.0,0.0
